net/minecraft/world/chunk/storage/IChunkLoader	aqc
net/minecraft/block/BlockMycelium	amd
net/minecraft/inventory/ContainerEnchantment	aag
net/minecraft/world/biome/WorldChunkManagerHell	aie
net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$DesertPyramid	aub
net/minecraft/client/stream/ChatController	bue
net/minecraft/client/renderer/texture/TextureManager	bqf
net/minecraft/client/gui/achievement/GuiAchievements	bei
net/minecraft/client/model/ModelSquid	bih
net/minecraft/client/shader/Framebuffer	bmg
net/minecraft/client/network/NetHandlerHandshakeMemory	na
net/minecraft/network/play/client/C02PacketUseEntity$Action	jb
net/minecraft/util/MessageDeserializer2	fc
net/minecraft/command/server/CommandPardonIp	bd
net/minecraft/block/BlockPumpkin	amw
net/minecraft/item/crafting/RecipeFireworks	aey
net/minecraft/inventory/ContainerDispenser	aaz
net/minecraft/world/biome/BiomeGenEnd	aix
net/minecraft/command/CommandHandler	z
net/minecraft/client/resources/IResourceManager	bqy
net/minecraft/server/management/PlayerProfileCache$1	nt
net/minecraft/network/login/server/S00PacketDisconnect	ju
net/minecraft/network/play/INetHandlerPlayClient	fv
net/minecraft/item/ItemSoup	abn
net/minecraft/enchantment/EnchantmentArrowDamage	afm
net/minecraft/client/resources/SkinManager$3	brm
net/minecraft/world/gen/ChunkProviderFlat	aqu
net/minecraft/world/gen/structure/StructureStrongholdPieces$Prison	aut
net/minecraft/world/storage/WorldInfo	ays
net/minecraft/util/MinecraftError	bbq
net/minecraft/util/EnchantmentNameParts	bfp
net/minecraft/client/multiplayer/ServerData$ServerResourceMode	bjo
net/minecraft/client/renderer/entity/RenderManager	bnn
net/minecraft/dispenser/IBlockSource	ck
net/minecraft/entity/projectile/EntityWitherSkull	zp
net/minecraft/entity/ai/EntityAINearestAttackableTarget$Sorter	vq
net/minecraft/potion/PotionAbsoption	rr
net/minecraft/server/management/PlayerProfileCache	ns
net/minecraft/block/BlockSapling	anj
net/minecraft/item/crafting/RecipesWeapons	afl
net/minecraft/block/Block$2	ajk
net/minecraft/world/gen/structure/MapGenStructure$3	avh
net/minecraft/client/gui/GuiLabel	bce
net/minecraft/client/gui/ServerListEntryNormal$1	bgd
net/minecraft/client/resources/SkinManager$2	brl
net/minecraft/entity/passive/EntityBat	we
net/minecraft/server/management/PreYggdrasilConverter$7	og
net/minecraft/network/status/INetHandlerStatusServer	kh
net/minecraft/network/play/server/S3APacketTabComplete	gi
net/minecraft/creativetab/CreativeTabs$4	aca
net/minecraft/scoreboard/Score	azz
net/minecraft/client/gui/ServerListEntryNormal	bgc
net/minecraft/client/renderer/entity/RenderItem$2	boa
net/minecraft/entity/IEntityMultiPart	wx
net/minecraft/entity/IEntityLivingData	sy
net/minecraft/network/rcon/RConThreadClient	oz
net/minecraft/tileentity/TileEntityBeacon	aoq
net/minecraft/block/BlockDynamicLiquid	akr
net/minecraft/item/ItemFishFood	act
net/minecraft/block/BlockEventData	ags
net/minecraft/client/audio/SoundListSerializer	bss
net/minecraft/client/renderer/entity/RenderSlime	bot
net/minecraft/scoreboard/ScorePlayerTeam	azy
net/minecraft/client/gui/GuiYesNo	bcw
net/minecraft/client/main/Main$2	bgv
net/minecraft/client/particle/EntityReddustFX	bku
net/minecraft/util/TupleIntJsonSerializable	pn
net/minecraft/network/rcon/IServer	lo
net/minecraft/network/play/server/S0APacketUseBed	hp
net/minecraft/nbt/NBTTagList	dq
net/minecraft/item/ItemMap	adh
net/minecraft/client/shader/ShaderDefault	bph
net/minecraft/world/gen/feature/WorldGenSwamp	aso
net/minecraft/block/BlockCarpet	aop
net/minecraft/client/gui/GuiLanguage$List	bdk
net/minecraft/client/model/ModelCreeper	bhj
net/minecraft/util/MovementInput	bli
net/minecraft/nbt/JsonToNBT$List	ee
net/minecraft/command/server/CommandBanIp	af
net/minecraft/entity/item/EntityItem	xk
net/minecraft/entity/ai/attributes/BaseAttributeMap	tl
net/minecraft/stats/IStatType	pm
net/minecraft/world/gen/structure/StructureMineshaftStart	atc
net/minecraft/tileentity/TileEntityEnchantmentTable	apd
net/minecraft/block/BlockFurnace	ale
net/minecraft/item/ItemLeaves	adg
net/minecraft/world/World$4	ahf
net/minecraft/world/gen/layer/GenLayerAddIsland	axb
net/minecraft/client/util/JsonBlendingMode	bpg
net/minecraft/realms/RealmsMth	net/minecraft/realms/RealmsMth
net/minecraft/util/IntHashMap$Entry	qa
net/minecraft/server/gui/MinecraftServerGui$3	mb
net/minecraft/network/play/server/S3BPacketScoreboardObjective	ic
net/minecraft/nbt/JsonToNBT$Compound	ed
net/minecraft/realms/RendererUtility	net/minecraft/realms/RendererUtility
net/minecraft/world/gen/structure/StructureNetherBridgePieces$Stairs	atv
net/minecraft/world/chunk/EmptyChunk	apw
net/minecraft/block/BlockLog	alx
net/minecraft/item/ItemSign	adz
net/minecraft/world/biome/BiomeCache	ahy
net/minecraft/world/gen/layer/GenLayerRiver	axu
net/minecraft/client/renderer/texture/TextureMap	bpz
net/minecraft/entity/monster/EntityZombie$1	yr
net/minecraft/entity/ai/EntityAIMoveThroughVillage	us
net/minecraft/world/WorldServer$1	mu
net/minecraft/network/play/client/C0FPacketConfirmTransaction	iv
net/minecraft/network/NetworkStatistics$PacketStat	ew
net/minecraft/command/server/CommandListBans	ax
net/minecraft/realms/ServerPing	net/minecraft/realms/ServerPing
net/minecraft/world/chunk/storage/AnvilChunkLoader	aqk
net/minecraft/block/BlockOldLeaf	aml
